step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
1770,0.00003778,177.48,25.5115,16.4427,18.2467,57598,4622,500
1780,0.00003799,188.13,25.5554,16.5869,17.6834,57594,4599,527
1790,0.00003821,171.41,25.6424,16.9776,17.5191,57831,4447,442
1800,0.00003842,172.52,25.7248,16.9726,17.5262,57121,4937,662
1810,0.00003863,177.21,25.8763,16.8242,17.6348,57529,4702,488
1820,0.00003885,174.83,26.0009,17.5220,16.4747,57318,4831,571
1830,0.00003906,179.58,26.0869,16.3859,17.7636,57790,4418,513
1840,0.00003927,171.73,26.2590,16.0476,17.5363,57057,5058,605
1850,0.00003949,169.24,26.4146,19.6081,17.6843,57595,4627,498
1860,0.00003970,190.96,26.5138,15.3426,18.0360,57077,5039,604
1870,0.00003991,162.65,26.6067,15.9227,18.0587,57475,4771,474
1880,0.00004013,167.73,26.7196,16.2626,17.7363,57715,4558,447
1890,0.00004034,180.21,26.8440,15.0335,18.0597,57345,4834,541
1900,0.00004055,175.19,26.8836,15.1716,17.8934,57540,4660,520
1910,0.00004077,185.27,26.9480,15.3150,17.2450,57457,4705,558
1920,0.00004098,163.02,27.1250,15.3821,18.1274,57416,4772,532
1930,0.00004119,186.36,27.2568,15.7331,17.8141,57446,4714,560
1940,0.00004141,170.59,27.4121,14.8357,17.2648,57458,4736,526
1950,0.00004162,173.76,27.5030,15.9492,17.5287,56801,5228,691
1960,0.00004183,175.98,27.6089,14.9650,18.2264,57255,4909,556
1970,0.00004205,183.61,27.7073,16.3120,17.0056,57306,4902,512
1980,0.00004226,174.87,27.8526,15.0113,17.7400,57331,4806,583
1990,0.00004247,168.31,28.0371,15.1867,18.4682,57276,4897,547
2000,0.00004269,166.35,28.1059,15.6301,17.0562,57741,4500,479
2010,0.00004290,179.87,28.1534,15.8565,17.9142,57254,4872,593
2020,0.00004311,175.96,28.1993,16.7425,19.7737,57490,4694,536
2030,0.00004333,184.09,28.3727,17.2000,17.5878,57341,4789,591
2040,0.00004354,178.80,28.5350,16.9584,18.1875,57491,4680,549
2050,0.00004375,188.77,28.6243,14.6539,17.5182,57172,4929,619
2060,0.00004397,169.80,28.7768,14.4303,16.8742,57515,4651,554
2070,0.00004418,170.07,28.8976,16.5921,18.2044,57321,4830,570
2080,0.00004439,185.19,28.8937,15.2046,17.6755,57171,4859,690
2090,0.00004461,182.50,28.9891,16.1975,18.6022,57282,4894,544
2100,0.00004482,182.89,29.0012,14.8226,17.2657,57267,4935,518
2110,0.00004503,185.64,29.2858,15.6181,17.4436,56918,5205,597
2120,0.00004525,176.92,29.4691,15.7385,17.2282,57628,4560,532
2130,0.00004546,189.94,29.6759,15.5324,18.1879,57148,4951,621
2140,0.00004567,178.19,29.7406,14.6552,17.6364,57602,4635,482
2150,0.00004589,164.63,29.8846,15.2483,16.9576,57350,4788,582
2160,0.00004610,169.27,29.9630,14.2242,17.3436,57077,5042,601
2170,0.00004631,174.18,30.0610,15.4163,18.2654,57966,4403,351
2180,0.00004653,180.75,30.1239,15.3700,18.2949,57342,4776,603
2190,0.00004674,176.86,30.2308,14.1087,17.2267,56947,5125,648
2200,0.00004695,183.55,30.3164,14.4387,19.3190,57522,4748,450
2210,0.00004717,184.39,30.3786,14.7462,17.3791,57013,5099,608
2220,0.00004738,177.22,30.5409,14.8461,15.9017,57583,4610,527
2230,0.00004759,197.58,30.7532,15.6258,17.9758,57720,4543,457
2240,0.00004781,182.85,30.7848,13.9885,17.6618,57696,4555,469
2250,0.00004802,170.41,30.7344,14.1460,17.8921,57427,4698,595
2260,0.00004823,182.37,30.9413,14.6079,16.8841,57765,4511,444
2270,0.00004845,178.36,31.0462,13.9904,17.0174,57426,4748,546
2280,0.00004866,177.64,31.2563,15.0059,18.4127,57576,4718,426
2290,0.00004887,180.09,31.2910,16.1026,17.8999,57409,4725,586
2300,0.00004909,180.03,31.5656,14.0669,18.1441,57133,4899,687
2310,0.00004930,187.45,31.7611,13.3480,17.2926,57890,4415,414
2320,0.00004951,184.02,31.7441,15.6710,17.7788,57262,4890,567
2330,0.00004973,176.57,31.8601,14.6153,17.7407,57159,4960,601
