step,lr,total_its,embed_norm,grad_bb,grad_pfc
2470,0.00005271,381.70,148.9976,7.9523,17.9767
2480,0.00005293,375.23,153.2031,8.1351,19.0183
2490,0.00005314,471.11,155.6928,8.1577,19.3151
2500,0.00005335,377.17,158.3632,7.6111,18.1868
2510,0.00005357,483.23,158.2458,8.3160,17.7185
2520,0.00005378,431.66,157.5438,7.5649,16.8899
2530,0.00005399,425.65,160.3490,7.4681,17.8487
2540,0.00005421,486.21,161.4485,7.7165,17.9764
2550,0.00005442,482.77,161.8943,7.3215,17.5628
2560,0.00005463,477.35,162.7542,7.9097,17.3594
2570,0.00005485,482.74,161.1619,7.5470,18.3278
2580,0.00005506,489.55,160.8519,8.1440,17.2956
2590,0.00005527,484.61,162.5814,8.4786,17.2080
2600,0.00005549,473.76,163.5943,8.3618,17.6041
2610,0.00005570,489.80,166.7542,7.5116,17.1469
2620,0.00005591,486.64,166.0591,7.9129,17.5245
2630,0.00005613,489.90,167.3665,7.7408,18.6519
2640,0.00005634,483.59,167.0239,7.5263,18.2985
2650,0.00005655,475.07,169.5379,7.7795,17.5667
2660,0.00005677,485.27,171.0629,8.0611,18.3478
2670,0.00005698,493.87,169.4550,8.0198,17.4520
2680,0.00005719,484.89,168.6066,7.5386,17.1615
2690,0.00005741,481.91,169.9892,7.9714,18.0134
2700,0.00005762,484.58,172.2346,6.9982,17.5857
2710,0.00005783,483.87,173.6489,6.9061,18.3106
2720,0.00005805,485.20,169.1575,7.7730,17.8461
2730,0.00005826,479.39,174.4841,7.1419,18.5812
2740,0.00005847,482.04,173.3673,7.4358,17.9774
2750,0.00005869,485.97,175.0137,8.2703,16.6029
2760,0.00005890,483.98,172.4526,7.3128,17.5035
2770,0.00005911,479.15,173.0842,7.5528,17.3514
2780,0.00005933,467.89,173.8356,7.3252,16.6450
2790,0.00005954,491.95,173.3106,7.6806,17.2756
2800,0.00005975,490.88,174.1180,7.2522,17.6908
2810,0.00005997,489.58,176.2332,7.4753,18.4585
2820,0.00006018,483.36,180.3632,7.2270,16.8758
2830,0.00006039,484.80,178.1131,7.5213,19.1082
2840,0.00006061,471.55,183.6028,8.0039,17.3454
2850,0.00006082,484.30,182.1999,7.0152,18.2965
2860,0.00006103,496.09,181.4312,7.3195,17.6268
2870,0.00006125,488.26,179.6739,7.2830,17.4792
2880,0.00006146,482.92,180.0543,7.2657,18.0362
2890,0.00006167,487.75,184.8524,6.8203,17.3433
2900,0.00006189,487.19,189.4413,7.3932,17.7323
2910,0.00006210,482.31,186.9642,7.3429,17.5239
2920,0.00006231,496.12,184.0222,7.5417,18.7378
2930,0.00006253,481.30,181.4380,6.9359,17.4856
2940,0.00006274,482.22,184.6987,7.2091,16.9553
2950,0.00006295,403.09,187.3475,7.3230,17.9619
2960,0.00006317,483.13,189.6108,6.9845,17.0520
2970,0.00006338,482.73,186.3103,7.4999,17.5306
2980,0.00006359,480.39,192.7446,7.2445,17.6774
2990,0.00006381,491.68,188.9072,6.9827,17.4116
3000,0.00006402,486.16,192.2627,6.8006,18.0037
3010,0.00006423,478.78,190.1111,7.4660,17.6472
3020,0.00006445,491.63,188.2715,6.9335,17.9239
3030,0.00006466,479.22,188.3118,7.5173,16.6631
3040,0.00006487,478.68,188.9994,6.9891,17.8921
3050,0.00006509,483.97,195.4508,7.5577,18.3593
3060,0.00006530,484.89,193.8787,7.4408,18.2844
3070,0.00006551,485.49,187.4959,6.9327,17.1101
3080,0.00006573,488.40,193.2130,7.0914,18.0122
3090,0.00006594,474.95,191.5708,7.2056,18.0590
3100,0.00006615,492.29,191.0951,7.4102,19.1247
3110,0.00006637,475.87,193.4612,7.0206,18.0579
3120,0.00006658,492.51,190.4388,7.0156,18.2739
3130,0.00006679,476.79,193.6655,7.7808,17.2158
3140,0.00006701,480.41,200.9041,7.3297,17.7078
3150,0.00006722,493.36,201.9788,6.7626,17.5839
3160,0.00006743,493.28,199.2846,7.2979,17.8090
3170,0.00006765,484.05,191.1644,7.1284,18.2251
3180,0.00006786,480.71,196.7002,7.1618,17.3825
3190,0.00006807,489.72,204.8795,7.0116,17.2715
3200,0.00006829,482.20,206.9762,7.2068,17.7496
3210,0.00006850,481.13,206.0385,7.3391,17.0825
3220,0.00006871,488.32,205.2538,6.9502,17.7625
3230,0.00006893,472.95,199.4518,7.4510,17.1683
3240,0.00006914,489.75,203.0248,7.1517,16.9468
3250,0.00006935,484.96,207.4877,7.3953,17.6575
3260,0.00006957,483.71,207.2771,6.8966,17.8864
3270,0.00006978,468.63,212.5836,6.8594,17.0649
3280,0.00006999,491.06,204.7957,7.4670,17.1575
3290,0.00007021,483.79,208.8040,6.9993,17.2666
3300,0.00007042,481.79,213.4328,6.7839,17.5249
3310,0.00007063,477.80,213.5277,7.3931,17.2805
3320,0.00007085,484.74,216.4615,6.9852,16.3552
3330,0.00007106,486.41,215.0257,7.4789,17.5338
3340,0.00007127,489.61,213.6664,7.1368,17.3870
3350,0.00007149,480.02,215.1203,7.2854,16.7453
3360,0.00007170,481.91,219.8676,7.0179,16.6664
3370,0.00007191,475.94,217.3105,6.7782,17.5269
3380,0.00007213,478.38,210.4282,6.8109,17.6151
3390,0.00007234,445.73,218.5583,6.7355,17.8323
3400,0.00007255,286.54,219.8249,6.9872,16.3773
3410,0.00007277,489.50,217.9133,6.8537,17.2117
3420,0.00007298,497.00,217.4131,6.9695,17.3279
3430,0.00007319,483.63,217.6854,6.1625,16.6127
3440,0.00007341,496.53,218.7651,6.8196,17.5815
3450,0.00007362,481.54,222.3463,6.4875,16.0583
3460,0.00007383,492.89,220.8120,6.5557,17.1800
3470,0.00007405,471.03,217.9625,6.7802,17.2494
3480,0.00007426,491.62,213.1279,6.6526,17.3279
3490,0.00007447,482.53,216.9911,6.5856,17.5448
3500,0.00007469,484.15,226.7341,7.2264,17.2594
3510,0.00007490,476.99,226.8406,6.7546,17.6795
3520,0.00007511,481.34,239.4551,6.4242,17.0545
3530,0.00007533,469.00,228.1325,7.2926,17.1607
3540,0.00007554,466.86,217.5079,7.1639,17.5402
3550,0.00007575,486.35,232.7276,6.6403,17.9886
3560,0.00007597,467.30,233.1372,6.8281,17.3400
3570,0.00007618,492.17,236.9479,6.7704,17.7839
3580,0.00007639,473.64,237.9263,6.5200,18.1607
3590,0.00007661,470.29,233.0407,6.4805,16.4728
3600,0.00007682,482.95,234.3968,7.0501,17.0594
3610,0.00007703,487.46,235.9034,6.8585,17.9825
3620,0.00007725,494.22,240.4317,6.8083,17.3591
3630,0.00007746,489.98,232.2676,6.9062,16.9681
3640,0.00007767,485.79,228.0592,7.0521,17.8817
3650,0.00007789,486.41,235.5064,6.6120,17.7750
3660,0.00007810,486.82,237.3837,6.7359,16.2477
3670,0.00007831,479.72,235.3086,6.6528,17.4403
3680,0.00007853,490.68,235.6043,6.7907,17.6700
3690,0.00007874,491.52,238.2393,6.4016,16.9154
3700,0.00007895,492.11,246.9444,6.4807,17.4030
3710,0.00007917,483.60,244.2327,6.6567,17.0540
3720,0.00007938,491.61,236.7920,6.6378,17.4421
3730,0.00007959,479.55,232.5356,7.0886,18.0246
3740,0.00007981,492.01,237.4456,6.5146,17.6189
3750,0.00008002,489.11,240.2396,6.9023,17.5129
3760,0.00008023,479.17,239.1306,6.7467,17.8151
3770,0.00008045,490.99,232.5406,7.1305,17.3133
3780,0.00008066,482.65,244.1961,6.4300,17.1938
3790,0.00008087,484.62,242.1905,6.3959,17.8879
3800,0.00008109,479.52,248.0605,6.2433,17.7036
3810,0.00008130,485.26,245.6590,6.5282,17.4816
3820,0.00008151,481.18,246.5237,6.9308,16.4111
3830,0.00008173,477.19,238.1652,6.9615,18.0457
3840,0.00008194,491.09,244.5397,6.3602,18.0317
3850,0.00008215,480.39,242.1604,6.6358,18.1458
3860,0.00008237,472.92,244.7562,6.3853,18.7829
3870,0.00008258,483.02,247.0721,6.4814,17.3366
3880,0.00008279,491.11,253.2738,6.5929,17.1301
