step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
2690,0.00005741,208.28,33.5676,7.1680,17.3654,56837,5211,672
2700,0.00005762,211.24,34.0465,6.5943,16.9217,57322,4827,570
2710,0.00005783,212.61,33.8415,6.8334,17.4074,57453,4769,498
2720,0.00005805,232.23,33.6154,6.7060,18.4965,57328,4805,587
2730,0.00005826,224.82,33.5827,6.9022,17.3733,56796,5203,722
2740,0.00005847,226.31,34.0220,7.0369,18.3797,57403,4781,537
2750,0.00005869,281.96,34.2058,6.3756,17.2067,57704,4604,412
2760,0.00005890,232.30,34.3423,6.8870,17.5777,57553,4622,544
2770,0.00005911,218.96,34.2667,6.7357,18.5221,57715,4480,525
2780,0.00005933,215.90,34.2163,6.5521,17.6195,56724,5236,760
2790,0.00005954,205.70,33.9505,6.5832,17.9474,57364,4839,517
2800,0.00005975,247.21,34.2972,6.6687,18.4482,57074,5067,579
2810,0.00005997,262.87,34.7423,6.5005,18.3986,57770,4528,422
2820,0.00006018,222.08,34.8083,6.6244,17.2071,57291,4878,550
2830,0.00006039,251.62,34.6489,6.8037,17.2023,57429,4736,556
2840,0.00006061,256.32,34.8083,7.2838,17.4507,57706,4541,473
2850,0.00006082,243.53,35.1644,6.7516,18.1986,57609,4623,488
2860,0.00006103,264.03,35.3575,6.4362,17.8966,57392,4732,597
2870,0.00006125,254.22,34.8016,6.8229,17.7697,57552,4715,452
2880,0.00006146,244.79,35.3020,6.2519,18.2969,57946,4361,413
2890,0.00006167,284.89,34.9332,6.0108,17.1291,57380,4776,563
2900,0.00006189,264.51,35.4250,6.7913,19.2284,57649,4568,503
2910,0.00006210,248.76,35.2724,6.5996,18.7232,57734,4576,411
2920,0.00006231,204.14,35.3493,6.0262,18.8146,57524,4665,532
2930,0.00006253,262.36,35.7116,6.7515,17.5936,57765,4522,433
2940,0.00006274,238.40,35.2063,6.6254,16.6593,57182,4984,554
2950,0.00006295,225.35,35.6127,6.1310,18.7913,57711,4529,481
2960,0.00006317,252.21,36.4426,6.1787,16.4738,57611,4619,490
2970,0.00006338,250.27,35.3033,6.4044,17.8341,57690,4515,515
2980,0.00006359,245.42,35.8907,6.2497,17.3163,56884,5155,680
2990,0.00006381,259.77,35.8327,6.6730,18.3647,57146,4966,608
3000,0.00006402,223.22,36.4163,6.9844,17.8104,57603,4592,525
3010,0.00006423,219.32,36.5866,6.5816,16.1965,57451,4719,550
3020,0.00006445,248.71,37.0329,6.2056,19.3153,57514,4726,481
3030,0.00006466,224.02,36.6134,6.4999,17.9539,57199,4968,554
3040,0.00006487,257.93,36.4704,6.1407,18.4351,56876,5184,659
3050,0.00006509,251.51,36.9309,5.8513,17.6707,57303,4855,561
3060,0.00006530,261.69,37.4554,6.2133,16.7908,57552,4661,507
3070,0.00006551,254.38,36.6900,6.1788,18.2732,57326,4916,478
3080,0.00006573,218.77,37.0487,7.6505,16.4056,57339,4779,602
3090,0.00006594,275.92,36.7827,6.2060,17.0454,57049,5024,647
3100,0.00006615,223.66,36.8177,6.8097,18.0158,57428,4748,544
3110,0.00006637,246.06,37.5157,6.2732,16.5676,57442,4737,541
3120,0.00006658,247.71,36.8882,6.5790,18.1207,57437,4801,482
3130,0.00006679,245.79,37.1844,6.6548,17.5852,57653,4539,528
3140,0.00006701,230.46,37.5488,6.4689,16.9619,57236,4872,612
3150,0.00006722,261.78,37.8863,6.5298,16.7035,57686,4578,456
3160,0.00006743,234.89,37.0141,5.9038,17.6922,57331,4843,546
3170,0.00006765,255.24,37.4468,6.1506,17.9430,57310,4826,584
3180,0.00006786,262.22,37.1051,7.2041,17.7971,57442,4767,511
3190,0.00006807,255.59,37.3911,6.7072,18.7633,57205,4959,556
3200,0.00006829,227.60,38.2644,6.2708,17.0929,57120,5019,581
3210,0.00006850,224.44,37.7420,6.2685,17.6174,57557,4590,573
3220,0.00006871,272.85,37.8401,6.0122,17.1218,57700,4573,446
3230,0.00006893,263.04,38.3177,6.1583,17.9327,57226,4902,592
3240,0.00006914,198.04,37.6123,5.6796,17.1196,57040,5038,643
3250,0.00006935,275.65,37.6574,6.1780,17.3433,57087,5012,621
3260,0.00006957,277.59,38.5931,6.2805,18.8679,56945,5153,623
3270,0.00006978,246.86,38.2761,6.4391,18.5233,57203,4944,573
3280,0.00006999,248.26,38.7474,6.5059,18.2062,57136,4942,642
3290,0.00007021,246.73,39.2299,6.0303,17.9776,57837,4452,431
3300,0.00007042,244.30,39.3449,6.3070,17.1399,57104,4993,623
