step,lr,total_its
7210,0.00015383,493.24
7220,0.00015405,492.21
7230,0.00015426,488.07
7240,0.00015447,497.49
7250,0.00015469,490.08
7260,0.00015490,400.10
7270,0.00015511,500.90
7280,0.00015533,474.33
7290,0.00015554,487.34
7300,0.00015575,489.28
7310,0.00015597,500.69
7320,0.00015618,489.99
7330,0.00015639,492.75
7340,0.00015661,488.07
7350,0.00015682,488.80
7360,0.00015703,506.30
7370,0.00015725,507.39
7380,0.00015746,486.99
7390,0.00015767,477.54
7400,0.00015789,477.18
7410,0.00015810,499.74
7420,0.00015831,491.81
7430,0.00015853,513.30
7440,0.00015874,483.68
7450,0.00015895,500.94
7460,0.00015917,502.16
7470,0.00015938,495.39
7480,0.00015959,472.38
7490,0.00015981,494.54
7500,0.00016002,481.73
7510,0.00016023,493.20
7520,0.00016045,480.28
7530,0.00016066,448.01
7540,0.00016087,474.67
7550,0.00016109,502.16
7560,0.00016130,484.78
7570,0.00016151,498.58
7580,0.00016173,496.42
7590,0.00016194,493.82
7600,0.00016215,492.05
7610,0.00016237,488.86
7620,0.00016258,506.81
7630,0.00016279,493.07
7640,0.00016301,486.98
7650,0.00016322,505.54
7660,0.00016343,493.48
7670,0.00016365,493.12
7680,0.00016386,500.87
7690,0.00016407,399.58
7700,0.00016429,388.00
7710,0.00016450,502.21
7720,0.00016471,450.02
7730,0.00016493,474.11
7740,0.00016514,446.54
7750,0.00016535,487.20
7760,0.00016557,464.38
7770,0.00016578,508.39
7780,0.00016599,491.23
7790,0.00016621,491.74
7800,0.00016642,497.24
7810,0.00016663,486.43
7820,0.00016685,390.53
7830,0.00016706,496.87
7840,0.00016727,500.29
7850,0.00016749,497.48
7860,0.00016770,499.09
7870,0.00016791,500.76
7880,0.00016813,505.35
7890,0.00016834,482.46
7900,0.00016855,493.43
7910,0.00016877,491.13
7920,0.00016898,500.26
7930,0.00016919,495.50
7940,0.00016941,499.03
7950,0.00016962,499.63
7960,0.00016983,508.75
7970,0.00017005,501.40
7980,0.00017026,493.30
7990,0.00017047,504.32
8000,0.00017069,403.99
8010,0.00017090,510.64
8020,0.00017111,496.75
8030,0.00017133,477.91
8040,0.00017154,496.31
8050,0.00017175,496.25
8060,0.00017197,469.77
8070,0.00017218,499.52
8080,0.00017239,499.57
8090,0.00017261,495.42
8100,0.00017282,464.27
8110,0.00017303,489.63
8120,0.00017325,499.04
8130,0.00017346,499.21
8140,0.00017367,498.66
8150,0.00017389,484.02
8160,0.00017410,478.35
8170,0.00017431,482.92
8180,0.00017453,472.08
8190,0.00017474,502.66
8200,0.00017495,491.36
8210,0.00017517,484.28
8220,0.00017538,496.64
8230,0.00017559,482.91
8240,0.00017581,487.60
8250,0.00017602,496.72
8260,0.00017623,473.66
8270,0.00017645,480.28
8280,0.00017666,504.24
8290,0.00017687,505.24
8300,0.00017709,486.58
8310,0.00017730,491.92
8320,0.00017751,498.70
8330,0.00017773,488.63
8340,0.00017794,495.67
8350,0.00017815,500.96
8360,0.00017837,487.27
8370,0.00017858,500.07
8380,0.00017879,501.77
8390,0.00017901,493.29
8400,0.00017922,493.20
8410,0.00017943,475.32
8420,0.00017965,495.25
8430,0.00017986,483.08
8440,0.00018007,481.91
8450,0.00018029,491.87
8460,0.00018050,490.68
8470,0.00018071,499.16
8480,0.00018093,480.62
8490,0.00018114,495.91
8500,0.00018135,513.20
8510,0.00018157,498.20
8520,0.00018178,500.03
8530,0.00018199,484.00
8540,0.00018221,480.66
8550,0.00018242,491.25
8560,0.00018263,430.18
8570,0.00018285,461.08
8580,0.00018306,494.13
8590,0.00018327,506.25
8600,0.00018349,498.96
8610,0.00018370,507.75
8620,0.00018391,489.92
8630,0.00018413,505.02
8640,0.00018434,481.62
8650,0.00018455,491.86
8660,0.00018477,470.47
8670,0.00018498,507.92
8680,0.00018519,499.98
8690,0.00018541,478.60
8700,0.00018562,505.03
8710,0.00018583,493.19
8720,0.00018605,490.53
8730,0.00018626,490.26
8740,0.00018647,498.90
8750,0.00018669,484.72
8760,0.00018690,483.36
8770,0.00018711,497.07
8780,0.00018733,497.32
8790,0.00018754,490.68
8800,0.00018775,492.92
8810,0.00018797,507.09
8820,0.00018818,499.17
8830,0.00018839,499.10
8840,0.00018861,480.24
8850,0.00018882,494.16
8860,0.00018903,485.65
8870,0.00018925,482.00
8880,0.00018946,494.90
8890,0.00018967,501.58
8900,0.00018989,490.63
8910,0.00019010,505.90
8920,0.00019031,498.15
8930,0.00019053,478.41
8940,0.00019074,492.82
8950,0.00019095,516.42
8960,0.00019117,488.72
8970,0.00019138,490.96
8980,0.00019159,493.16
8990,0.00019181,481.36
9000,0.00019202,501.55
9010,0.00019223,479.51
9020,0.00019245,443.26
9030,0.00019266,365.07
9040,0.00019287,492.61
9050,0.00019309,491.88
9060,0.00019330,511.88
9070,0.00019351,457.41
9080,0.00019373,398.15
9090,0.00019394,495.14
9100,0.00019415,487.23
9110,0.00019437,491.94
9120,0.00019458,492.55
9130,0.00019479,494.60
9140,0.00019501,474.50
9150,0.00019522,497.98
9160,0.00019543,493.36
9170,0.00019565,491.71
9180,0.00019586,503.69
9190,0.00019607,469.97
9200,0.00019629,508.49
9210,0.00019650,497.83
9220,0.00019671,497.03
9230,0.00019693,501.41
9240,0.00019714,493.66
9250,0.00019735,488.93
9260,0.00019757,494.04
9270,0.00019778,486.94
9280,0.00019799,493.97
9290,0.00019821,488.63
9300,0.00019842,510.65
9310,0.00019863,507.00
9320,0.00019885,501.67
9330,0.00019906,489.89
9340,0.00019927,487.63
9350,0.00019949,495.06
9360,0.00019970,488.51
9370,0.00019991,491.41
9380,0.00020013,501.52
9390,0.00020034,503.66
9400,0.00020055,493.40
9410,0.00020077,500.60
9420,0.00020098,490.40
9430,0.00020119,501.59
9440,0.00020141,498.39
9450,0.00020162,500.23
9460,0.00020183,477.45
9470,0.00020205,481.97
9480,0.00020226,503.24
9490,0.00020247,489.55
9500,0.00020269,461.41
9510,0.00020290,487.96
9520,0.00020311,482.73
9530,0.00020333,473.18
9540,0.00020354,498.05
9550,0.00020375,467.79
9560,0.00020397,489.30
9570,0.00020418,472.44
9580,0.00020439,499.68
9590,0.00020461,492.59
9600,0.00020482,479.53
9610,0.00020503,502.16
9620,0.00020525,495.24
9630,0.00020546,488.97
9640,0.00020567,496.10
9650,0.00020589,499.43
9660,0.00020610,485.71
9670,0.00020631,485.91
9680,0.00020653,508.06
9690,0.00020674,497.01
9700,0.00020695,486.41
9710,0.00020717,489.86
9720,0.00020738,497.59
9730,0.00020759,494.30
9740,0.00020781,497.94
9750,0.00020802,493.52
9760,0.00020823,497.81
9770,0.00020845,506.75
9780,0.00020866,481.58
9790,0.00020887,517.03
9800,0.00020909,497.75
9810,0.00020930,513.84
9820,0.00020951,490.25
9830,0.00020973,504.92
9840,0.00020994,504.91
9850,0.00021015,486.56
9860,0.00021037,485.59
9870,0.00021058,505.31
9880,0.00021079,487.49
9890,0.00021101,493.42
9900,0.00021122,490.40
9910,0.00021143,489.99
9920,0.00021165,502.86
9930,0.00021186,494.95
9940,0.00021207,475.68
9950,0.00021229,496.99
9960,0.00021250,488.37
9970,0.00021271,479.27
9980,0.00021293,493.08
9990,0.00021314,498.87
10000,0.00021335,405.27
10010,0.00021357,496.50
10020,0.00021378,484.43
10030,0.00021399,493.12
10040,0.00021421,510.73
10050,0.00021442,477.20
10060,0.00021463,499.87
10070,0.00021485,467.13
10080,0.00021506,486.84
10090,0.00021527,481.23
10100,0.00021549,498.21
10110,0.00021570,490.88
10120,0.00021591,498.51
10130,0.00021613,507.99
10140,0.00021634,480.49
10150,0.00021655,493.04
10160,0.00021677,489.24
10170,0.00021698,510.75
10180,0.00021719,497.06
10190,0.00021741,500.59
10200,0.00021762,492.63
10210,0.00021783,489.17
10220,0.00021805,499.50
10230,0.00021826,501.29
10240,0.00021847,473.89
10250,0.00021869,464.62
10260,0.00021890,481.01
10270,0.00021911,489.80
10280,0.00021933,468.48
10290,0.00021954,489.82
10300,0.00021975,496.42
10310,0.00021997,331.21
10320,0.00022018,359.23
10330,0.00022039,308.68
10340,0.00022061,460.81
10350,0.00022082,482.93
10360,0.00022103,486.40
10370,0.00022125,493.44
10380,0.00022146,480.74
10390,0.00022167,507.88
10400,0.00022189,505.23
10410,0.00022210,484.71
10420,0.00022231,492.04
10430,0.00022253,495.42
10440,0.00022274,480.34
10450,0.00022295,485.67
10460,0.00022317,499.43
10470,0.00022338,476.17
10480,0.00022359,498.96
10490,0.00022381,498.56
10500,0.00022402,482.23
10510,0.00022423,495.35
10520,0.00022445,490.78
10530,0.00022466,506.04
10540,0.00022487,492.02
10550,0.00022509,497.46
10560,0.00022530,488.88
10570,0.00022551,504.85
10580,0.00022573,484.98
10590,0.00022594,473.26
10600,0.00022615,490.48
10610,0.00022637,478.55
10620,0.00022658,447.64
10630,0.00022679,321.47
10640,0.00022701,492.61
10650,0.00022722,465.24
10660,0.00022743,487.49
10670,0.00022765,476.92
10680,0.00022786,449.15
10690,0.00022807,473.51
10700,0.00022829,503.99
10710,0.00022850,486.04
10720,0.00022871,208.19
10730,0.00022893,457.15
10740,0.00022914,470.92
10750,0.00022935,487.53
10760,0.00022957,497.25
10770,0.00022978,478.80
10780,0.00022999,475.20
10790,0.00023021,496.96
10800,0.00023042,502.78
10810,0.00023063,483.59
10820,0.00023085,498.75
